id,keywords
33586,"[{'id': 2526, 'name': 'human animal relationship'}, {'id': 10183, 'name': 'independent film'}, {'id': 15162, 'name': 'dog'}, {'id': 232802, 'name': 'girl dog relationship'}]"
27522,"[{'id': 4007, 'name': 'jack the ripper'}, {'id': 6255, 'name': 'insanity'}, {'id': 9706, 'name': 'anthology'}, {'id': 10771, 'name': 'wax museum'}, {'id': 10772, 'name': 'torture chamber'}]"
357130,[]
1549,"[{'id': 254, 'name': 'france'}, {'id': 398, 'name': 'slang'}, {'id': 1418, 'name': 'skyscraper'}, {'id': 1950, 'name': 'vororte'}, {'id': 2356, 'name': 'immigrant'}, {'id': 4326, 'name': 'theatre play'}, {'id': 4333, 'name': 'theatre group'}, {'id': 6034, 'name': 'theatre milieu'}, {'id': 10508, 'name': 'teacher'}, {'id': 13072, 'name': 'falling in love'}, {'id': 14751, 'name': 'youth'}, {'id': 18035, 'name': 'family'}, {'id': 155939, 'name': 'group of friends'}]"
14878,"[{'id': 3541, 'name': 'afghanistan'}]"
202140,"[{'id': 187056, 'name': 'woman director'}, {'id': 191712, 'name': 'life of saint'}]"
117905,"[{'id': 12339, 'name': 'slasher'}]"
46429,"[{'id': 745, 'name': 'nun'}, {'id': 12096, 'name': 'hair'}, {'id': 12377, 'name': 'zombie'}, {'id': 17973, 'name': 'skin'}, {'id': 163114, 'name': 'gunman'}, {'id': 220848, 'name': 'heaven and hell'}]"
68437,"[{'id': 1523, 'name': 'obsession'}, {'id': 6275, 'name': 'school party'}, {'id': 10333, 'name': 'stalking'}, {'id': 33910, 'name': 'high school student'}, {'id': 41172, 'name': 'schoolgirl'}, {'id': 154842, 'name': 'school teacher'}]"
51865,[]
118991,"[{'id': 1936, 'name': 'blackmail'}]"
8008,"[{'id': 2375, 'name': 'junkie'}, {'id': 2654, 'name': 'methadone programme'}, {'id': 6979, 'name': 'straßenkids'}, {'id': 10183, 'name': 'independent film'}, {'id': 14964, 'name': 'drug'}, {'id': 187056, 'name': 'woman director'}, {'id': 197619, 'name': 'foreign'}, {'id': 208792, 'name': 'streets'}]"
26333,"[{'id': 9673, 'name': 'love'}, {'id': 10614, 'name': 'tragedy'}, {'id': 13014, 'name': 'orphan'}, {'id': 18161, 'name': 'baboon'}]"
326874,[]
193595,"[{'id': 165279, 'name': 'street'}]"
18725,[]
128113,[]
36738,"[{'id': 236, 'name': 'suicide'}, {'id': 9872, 'name': 'grief'}]"
285803,[]
75757,[]
52038,"[{'id': 237, 'name': 'gay'}, {'id': 4729, 'name': 'dublin'}, {'id': 6054, 'name': 'friendship'}, {'id': 14985, 'name': 'ireland'}, {'id': 163110, 'name': 'theater'}, {'id': 176793, 'name': 'middle age'}, {'id': 208383, 'name': 'oscar wilde'}]"
15768,[]
31206,"[{'id': 4344, 'name': 'musical'}, {'id': 5565, 'name': 'biography'}, {'id': 11020, 'name': 'classic'}]"
35215,[]
72272,[]
