adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,"[{'id': 18, 'name': 'Drama'}]",,287636,tt3026144,en,The Sound and the Fury,"A look at the trials and tribulations of The Compson siblings, living in the deep south during the early part of the 20th century.",1.166012,/b6U8GH0NLR3y9YDUzoiAP72xqAd.jpg,"[{'name': 'Made In Film-Land', 'id': 18440}, {'name': 'New Films International', 'id': 42203}, {'name': 'Rabbit Bandini Films', 'id': 52351}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-10-23,0,101.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Sound And The Fury,False,4.4,6
False,,0,"[{'id': 10749, 'name': 'Romance'}]",,161529,tt2275861,en,En som deg,"A Finnish-Norwegian love story with an unexpected shape and development. Shot in Oslo, Helsinki, Istanbul and Berlin. The film focuses on showing the actual moments that lead to getting to know one another, building a relationship and to breaking up. The film takes part in Kaisa’s attempt of getting involved with two different men that look almost exactly the same, questioning where the thin line is between someone potentially being the love of your life or not. Shooting the film with the approach of a workshop and closely involving the actors allows the film to take shape as a unique, unpredictable cinematic expression touching the basis and complexity of human behavior.",0.420708,/ninil1NrQsIlguq2YvvlS9yirLX.jpg,"[{'name': '4 1/2', 'id': 7843}]",[],2012-10-18,0,90.0,"[{'iso_639_1': 'no', 'name': 'Norsk'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fi', 'name': 'suomi'}, {'iso_639_1': 'tr', 'name': 'Türkçe'}]",Released,,Must Have Been Love,False,7.5,2
False,,2100000,"[{'id': 10751, 'name': 'Family'}]",http://onnelijaanneli.fi/,293471,tt2571776,en,Onneli ja Anneli,"When two best friends Jill and Joy find a huge sum of money on the street on the first day of the summer holiday, they decide to buy a house from the mysterious Mrs. Rosebud. It’s a real dream house: measured and equipped exactly for two little seven-year-old girls’ requirements. Based on a beloved children’s book, Jill and Joy is a story of a dream summer without parents or boundaries. Anything can and will happen as reality and fantasy magically intertwine.",0.017998,/uu7cBrWO0RIcCX7QKvNre4wOMgO.jpg,"[{'name': 'Zodiak Finland Oy', 'id': 33392}]","[{'iso_3166_1': 'FI', 'name': 'Finland'}]",2014-01-17,0,80.0,"[{'iso_639_1': 'fi', 'name': 'suomi'}]",Released,,Jill and Joy,False,0.0,0
False,,125000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",http://www.themummy.com,282035,tt2345759,en,The Mummy,"Though safely entombed in a crypt deep beneath the unforgiving desert, an ancient queen whose destiny was unjustly taken from her is awakened in our current day, bringing with her malevolence grown over millennia, and terrors that defy human comprehension.",33.704935,/zxkY8byBnCsXodEYpK8tmwEGXBI.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Sean Daniel Company', 'id': 19857}, {'name': 'Secret Hideout', 'id': 90517}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-06-06,407778013,110.0,"[{'iso_639_1': 'ar', 'name': 'العربية'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'th', 'name': 'ภาษาไทย'}]",Released,Welcome To A New World of Gods And Monsters,The Mummy,False,5.4,2122
False,,0,"[{'id': 18, 'name': 'Drama'}]",,412203,tt5974388,ar,Bar Bahar,"IN BETWEEN captures the daily duality of three young Palestinian women in Tel Aviv, caught between hometown tradition and big city abandon, and the price they must pay for a lifestyle that seems obvious to many: the freedom to work, party, fuck, and choose.",2.481935,/52VRPSc4OqvdovABpH4Su32P3Ly.jpg,[],"[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'IL', 'name': 'Israel'}]",2016-11-25,0,96.0,"[{'iso_639_1': 'ar', 'name': 'العربية'}, {'iso_639_1': 'he', 'name': 'עִבְרִית'}]",Released,,In Between,False,7.4,17
False,,0,"[{'id': 18, 'name': 'Drama'}]",,886,tt0059037,en,The Cincinnati Kid,An up-and-coming poker player tries to prove himself in a high-stakes match against a long-time master of the game.,3.670599,/s4Apy8FcF6a0lR1Qay1atpfwAv9.jpg,"[{'name': 'Solar Productions', 'id': 599}, {'name': 'Filmways Pictures', 'id': 1138}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1965-10-15,15260000,102.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"He'd take on anyone, at anything, anytime.",The Cincinnati Kid,False,7.0,62
False,,13000000,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",,45096,tt0101831,en,Eve of Destruction,"Eve is a military robot made to look exactly like her creator, Dr. Eve Simmons. When she is damaged during a bank robbery, the robot becomes an unstoppable killing machine. Colonel Jim McQuade is assigned to stop the robot and with the help from Dr. Simmons they have to predict where she will go next.",2.277758,/tnR299P4IqkYheOO5PMO6WFCNac.jpg,"[{'name': 'Nelson Entertainment', 'id': 365}, {'name': 'Interscope Communications', 'id': 10201}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1991-01-18,0,99.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"They gave her looks. Brains. Nuclear capabilities. Everything but an ""off"" switch.",Eve of Destruction,False,5.1,9
False,,0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",,46018,tt0072409,en,Willie Dynamite,"Willie Dynamite is a pimp who operates in New York City. Willie was a big success as a pimp, but now, just as fast as he rose to the top, he has hit bottom. A former prostitute who has become a social worker tries to get Willie to clean up his life while it is still possible.",0.805515,/lmjJ176Ff9R7cpT6TWB6T9dtRBl.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1974-01-23,0,102.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,"Chicks, Chumps, he uses 'em all.",Willie Dynamite,False,6.3,6
False,"{'id': 286951, 'name': 'Singham Collection', 'poster_path': None, 'backdrop_path': None}",0,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]",,285803,tt2309764,hi,Singham Returns,"Singham Returns is an Indian action film directed by Rohit Shetty and produced by Reliance Entertainment. The sequel to the 2011 film Singham, actor Ajay Devgn reprises his role from the previous film, as well as co-producing the project, while Kareena Kapoor Khan plays the female lead.",2.108695,/k8CDjZLYG8bCIuXWAg4gukxf0BE.jpg,"[{'name': 'Ajay Devgn Films', 'id': 4336}, {'name': 'Reliance Entertainment', 'id': 7294}]","[{'iso_3166_1': 'IN', 'name': 'India'}]",2014-08-15,0,142.0,"[{'iso_639_1': 'hi', 'name': 'हिन्दी'}]",Released,,Singham Returns,False,6.0,27
False,,0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",,87925,tt0026606,en,The Last Journey,"Bob Holt's last journey as a Railway engine driver before his retirement, a journey disturbed by his distress at leaving the Railway, and his suspicions of the relationship between his wife and his fireman. Aboard the train are a pair of pickpockets, a honeymoon couple, a drunk, a temperance pamphleteer and a host of familiar types, all more-or-less bizarre in characteristically English ways. Bob takes an unexpected course of action, and the characters start interacting in varied and unexpected ways. When, at last, the train stops, all has been resolved, but not as might have been expected at the beginning of the journey.",0.039118,/bELdNRyvTVfCOZK7wMkZvtLwtRX.jpg,"[{'name': 'Julius Hagen Productions', 'id': 16210}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}]",1936-04-27,0,66.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Last Journey,False,6.5,1
